definition,type,category,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
boots,word,clothing,0.1,0.14,0.26,0.31,0.42,0.46,0.59,0.65,0.65,0.69,0.7,0.77,0.86,0.84,0.88
button,word,clothing,0.18,0.15,0.29,0.38,0.39,0.39,0.55,0.61,0.63,0.66,0.72,0.69,0.89,0.77,0.91
coat,word,clothing,0.09,0.16,0.25,0.36,0.39,0.44,0.57,0.69,0.66,0.68,0.71,0.78,0.82,0.81,0.9
diaper,word,clothing,0.28,0.32,0.49,0.55,0.53,0.69,0.7,0.8,0.81,0.88,0.87,0.87,0.96,0.92,0.96
dress (object),word,clothing,0.05,0.05,0.1,0.17,0.2,0.25,0.35,0.41,0.48,0.48,0.62,0.57,0.74,0.66,0.8
gloves,word,clothing,0.01,0.04,0.07,0.1,0.14,0.14,0.25,0.3,0.36,0.41,0.46,0.48,0.62,0.56,0.66
hat,word,clothing,0.33,0.37,0.54,0.62,0.68,0.69,0.78,0.85,0.85,0.87,0.92,0.89,0.96,0.93,0.95
jacket,word,clothing,0.06,0.09,0.19,0.27,0.29,0.34,0.45,0.5,0.57,0.64,0.66,0.76,0.82,0.76,0.83
jeans,word,clothing,0.02,0.03,0.05,0.09,0.12,0.17,0.22,0.24,0.34,0.37,0.41,0.43,0.6,0.54,0.65
mittens,word,clothing,0.03,0.02,0.1,0.11,0.16,0.2,0.22,0.27,0.36,0.38,0.43,0.5,0.55,0.55,0.63
necklace,word,clothing,0.04,0.09,0.13,0.19,0.19,0.26,0.3,0.4,0.46,0.49,0.54,0.56,0.75,0.63,0.75
pajamas,word,clothing,0.06,0.08,0.2,0.23,0.3,0.34,0.45,0.61,0.61,0.7,0.73,0.77,0.87,0.83,0.92
pants,word,clothing,0.07,0.11,0.24,0.33,0.36,0.48,0.58,0.66,0.69,0.74,0.78,0.86,0.92,0.89,0.97
scarf,word,clothing,0,0,0.03,0.04,0.07,0.09,0.13,0.12,0.15,0.17,0.21,0.21,0.35,0.33,0.42
shirt,word,clothing,0.09,0.16,0.3,0.37,0.42,0.48,0.65,0.69,0.72,0.75,0.81,0.84,0.93,0.86,0.96
shoe,word,clothing,0.51,0.6,0.76,0.83,0.87,0.81,0.92,0.95,0.93,0.94,0.96,0.97,0.98,0.97,0.98
shorts,word,clothing,0.04,0.05,0.11,0.16,0.18,0.23,0.33,0.43,0.47,0.55,0.65,0.71,0.82,0.73,0.81
slipper,word,clothing,0.03,0.02,0.09,0.13,0.14,0.22,0.29,0.36,0.38,0.39,0.52,0.48,0.7,0.57,0.67
sneaker,word,clothing,0.01,0.02,0.04,0.08,0.11,0.1,0.2,0.18,0.2,0.3,0.31,0.36,0.47,0.39,0.48
snowsuit,word,clothing,0,0.01,0.02,0.02,0.02,0.05,0.08,0.09,0.09,0.14,0.18,0.18,0.26,0.2,0.26
sock,word,clothing,0.3,0.22,0.44,0.47,0.46,0.44,0.5,0.59,0.71,0.75,0.82,0.78,0.95,0.79,0.9
sweater,word,clothing,0.07,0.19,0.2,0.3,0.36,0.4,0.53,0.62,0.52,0.54,0.64,0.65,0.68,0.75,0.81
tights,word,clothing,0.01,0.01,0.03,0.02,0.06,0.06,0.14,0.11,0.17,0.2,0.31,0.23,0.33,0.33,0.43
underpants,word,clothing,0.01,0.01,0.04,0.08,0.09,0.12,0.17,0.21,0.26,0.34,0.48,0.49,0.61,0.58,0.71
zipper,word,clothing,0.03,0.05,0.15,0.24,0.23,0.29,0.38,0.46,0.51,0.59,0.64,0.61,0.77,0.67,0.82
ankle,word,body_parts,0,0.01,0.04,0.07,0.08,0.12,0.12,0.18,0.19,0.25,0.29,0.3,0.49,0.36,0.51
arm,word,body_parts,0.08,0.18,0.24,0.36,0.38,0.51,0.57,0.7,0.72,0.76,0.81,0.81,0.93,0.89,0.96
belly button,word,body_parts,0.22,0.3,0.38,0.48,0.54,0.57,0.67,0.72,0.74,0.77,0.82,0.83,0.91,0.83,0.95
buttocks/bottom*,word,body_parts,0.09,0.14,0.26,0.36,0.38,0.49,0.55,0.63,0.68,0.75,0.78,0.8,0.91,0.83,0.9
cheek,word,body_parts,0.06,0.11,0.2,0.29,0.33,0.4,0.55,0.53,0.6,0.66,0.68,0.78,0.84,0.79,0.86
chin,word,body_parts,0.05,0.05,0.19,0.28,0.29,0.34,0.49,0.5,0.56,0.61,0.72,0.7,0.83,0.8,0.84
ear,word,body_parts,0.31,0.45,0.59,0.7,0.7,0.75,0.84,0.92,0.86,0.89,0.92,0.95,0.97,0.95,0.97
eye,word,body_parts,0.43,0.48,0.67,0.73,0.74,0.74,0.83,0.9,0.91,0.92,0.95,0.94,0.99,0.96,0.98
face,word,body_parts,0.05,0.06,0.16,0.26,0.23,0.33,0.44,0.52,0.59,0.61,0.77,0.72,0.86,0.79,0.88
finger,word,body_parts,0.07,0.19,0.28,0.38,0.43,0.52,0.6,0.72,0.74,0.75,0.84,0.84,0.91,0.88,0.96
foot,word,body_parts,0.14,0.15,0.39,0.44,0.46,0.48,0.63,0.71,0.76,0.84,0.87,0.91,0.95,0.9,0.97
hair,word,body_parts,0.21,0.27,0.45,0.55,0.59,0.67,0.73,0.83,0.82,0.86,0.88,0.92,0.97,0.93,0.96
hand,word,body_parts,0.11,0.15,0.29,0.39,0.49,0.57,0.66,0.77,0.74,0.81,0.85,0.89,0.95,0.93,0.95
head,word,body_parts,0.12,0.17,0.28,0.41,0.41,0.51,0.61,0.7,0.74,0.75,0.8,0.85,0.93,0.87,0.96
knee,word,body_parts,0.1,0.13,0.24,0.34,0.34,0.41,0.53,0.6,0.67,0.73,0.76,0.73,0.87,0.79,0.91
leg,word,body_parts,0.04,0.09,0.18,0.29,0.27,0.39,0.52,0.59,0.65,0.72,0.78,0.79,0.89,0.85,0.95
lips,word,body_parts,0.02,0.05,0.09,0.14,0.18,0.24,0.36,0.4,0.45,0.53,0.65,0.63,0.77,0.71,0.84
mouth,word,body_parts,0.18,0.27,0.43,0.56,0.54,0.57,0.7,0.75,0.79,0.81,0.87,0.88,0.95,0.89,0.96
nose,word,body_parts,0.41,0.47,0.65,0.75,0.76,0.76,0.86,0.9,0.91,0.92,0.93,0.95,0.98,0.95,0.98
owie/boo boo,word,body_parts,0.29,0.38,0.45,0.56,0.65,0.62,0.71,0.79,0.8,0.83,0.88,0.88,0.95,0.83,0.91
penis*,word,body_parts,0.07,0.08,0.16,0.18,0.22,0.28,0.29,0.43,0.42,0.42,0.48,0.52,0.64,0.51,0.55
shoulder,word,body_parts,0.01,0.01,0.03,0.11,0.11,0.16,0.24,0.28,0.34,0.4,0.49,0.49,0.62,0.55,0.7
toe,word,body_parts,0.18,0.28,0.38,0.47,0.47,0.54,0.61,0.69,0.73,0.74,0.83,0.82,0.92,0.86,0.94
tongue,word,body_parts,0.07,0.16,0.22,0.3,0.33,0.36,0.52,0.56,0.59,0.63,0.69,0.74,0.84,0.81,0.91
tooth,word,body_parts,0.16,0.17,0.32,0.38,0.43,0.41,0.53,0.59,0.7,0.72,0.79,0.81,0.92,0.86,0.9
tummy,word,body_parts,0.11,0.18,0.33,0.43,0.45,0.45,0.63,0.68,0.73,0.77,0.86,0.8,0.93,0.87,0.94
vagina*,word,body_parts,0.02,0.03,0.06,0.11,0.1,0.12,0.18,0.16,0.21,0.24,0.29,0.27,0.41,0.36,0.38
basket,word,household,0.03,0.05,0.14,0.18,0.19,0.25,0.33,0.4,0.46,0.5,0.59,0.59,0.76,0.67,0.82
blanket,word,household,0.18,0.22,0.39,0.47,0.51,0.58,0.65,0.78,0.79,0.83,0.86,0.87,0.95,0.92,0.96
bottle,word,household,0.42,0.36,0.49,0.53,0.58,0.61,0.7,0.71,0.74,0.78,0.86,0.83,0.92,0.86,0.93
bowl,word,household,0.11,0.12,0.26,0.33,0.35,0.42,0.49,0.58,0.64,0.71,0.75,0.76,0.89,0.8,0.95
box,word,household,0.12,0.17,0.28,0.37,0.39,0.44,0.55,0.61,0.65,0.72,0.76,0.83,0.88,0.85,0.92
broom,word,household,0.09,0.1,0.18,0.27,0.27,0.36,0.42,0.52,0.55,0.62,0.69,0.71,0.84,0.73,0.85
brush,word,household,0.17,0.15,0.32,0.36,0.4,0.44,0.58,0.64,0.69,0.7,0.74,0.79,0.9,0.82,0.92
bucket,word,household,0.03,0.05,0.09,0.17,0.14,0.24,0.28,0.36,0.41,0.48,0.52,0.54,0.72,0.63,0.78
camera,word,household,0.02,0.01,0.09,0.13,0.18,0.23,0.33,0.35,0.46,0.52,0.6,0.62,0.75,0.68,0.83
can (object),word,household,0.01,0.03,0.06,0.11,0.13,0.14,0.23,0.27,0.34,0.4,0.45,0.48,0.61,0.57,0.69
clock,word,household,0.14,0.15,0.29,0.34,0.38,0.38,0.49,0.55,0.61,0.65,0.67,0.72,0.85,0.79,0.89
comb,word,household,0.06,0.08,0.18,0.22,0.27,0.27,0.36,0.42,0.46,0.57,0.67,0.59,0.78,0.69,0.82
cup,word,household,0.24,0.3,0.46,0.57,0.6,0.64,0.77,0.79,0.8,0.88,0.91,0.91,0.95,0.91,0.97
dish,word,household,0.03,0.03,0.1,0.13,0.16,0.19,0.27,0.31,0.32,0.41,0.42,0.53,0.67,0.55,0.67
fork,word,household,0.07,0.15,0.27,0.35,0.41,0.47,0.64,0.68,0.71,0.75,0.81,0.89,0.92,0.81,0.93
garbage,word,household,0.03,0.07,0.1,0.17,0.22,0.23,0.28,0.4,0.4,0.46,0.54,0.59,0.66,0.61,0.71
glass,word,household,0.03,0.04,0.1,0.16,0.18,0.23,0.32,0.37,0.46,0.5,0.64,0.59,0.75,0.65,0.79
glasses,word,household,0.09,0.11,0.22,0.3,0.29,0.37,0.46,0.54,0.6,0.66,0.71,0.72,0.87,0.78,0.84
hammer,word,household,0.03,0.03,0.1,0.17,0.18,0.23,0.3,0.4,0.41,0.45,0.55,0.63,0.73,0.62,0.79
jar,word,household,0.03,0.11,0.13,0.19,0.22,0.31,0.38,0.42,0.31,0.36,0.38,0.47,0.44,0.58,0.57
keys,word,household,0.31,0.21,0.38,0.46,0.44,0.41,0.48,0.49,0.67,0.7,0.83,0.72,0.95,0.67,0.85
knife,word,household,0.02,0.01,0.1,0.14,0.16,0.24,0.38,0.42,0.47,0.56,0.62,0.66,0.8,0.69,0.83
lamp,word,household,0.01,0.02,0.05,0.1,0.14,0.15,0.23,0.26,0.31,0.36,0.4,0.47,0.58,0.5,0.66
light,word,household,0.25,0.2,0.42,0.44,0.53,0.55,0.69,0.7,0.77,0.79,0.86,0.85,0.94,0.86,0.95
medicine,word,household,0.04,0.05,0.14,0.22,0.22,0.29,0.38,0.46,0.55,0.62,0.71,0.68,0.84,0.75,0.87
money,word,household,0.06,0.08,0.16,0.27,0.31,0.37,0.43,0.55,0.59,0.65,0.78,0.75,0.9,0.79,0.89
mop,word,household,0.01,0.02,0.04,0.07,0.09,0.12,0.17,0.18,0.24,0.25,0.34,0.35,0.52,0.41,0.55
nail,word,household,0.01,0.01,0.03,0.1,0.05,0.12,0.18,0.26,0.27,0.34,0.38,0.46,0.58,0.51,0.63
napkin,word,household,0.02,0.04,0.1,0.15,0.22,0.28,0.39,0.43,0.54,0.57,0.66,0.64,0.82,0.72,0.87
paper,word,household,0.08,0.11,0.21,0.31,0.32,0.42,0.52,0.62,0.66,0.71,0.78,0.77,0.9,0.86,0.92
penny,word,household,0.02,0.03,0.08,0.1,0.13,0.18,0.27,0.31,0.36,0.45,0.54,0.55,0.67,0.61,0.7
picture,word,household,0.04,0.05,0.18,0.22,0.22,0.28,0.41,0.47,0.56,0.64,0.69,0.72,0.85,0.8,0.89
pillow,word,household,0.09,0.13,0.23,0.33,0.36,0.43,0.53,0.67,0.66,0.73,0.79,0.82,0.92,0.85,0.94
plant,word,household,0.02,0.05,0.1,0.13,0.18,0.22,0.29,0.31,0.37,0.44,0.54,0.51,0.67,0.6,0.75
plate,word,household,0.04,0.04,0.16,0.2,0.26,0.35,0.45,0.53,0.57,0.64,0.63,0.7,0.84,0.77,0.88
purse,word,household,0.05,0.07,0.15,0.22,0.22,0.34,0.36,0.41,0.51,0.54,0.62,0.65,0.79,0.67,0.8
radio,word,household,0.02,0.02,0.05,0.12,0.12,0.2,0.26,0.24,0.29,0.37,0.5,0.52,0.65,0.57,0.67
scissors,word,household,0.01,0.01,0.06,0.14,0.12,0.19,0.27,0.37,0.41,0.51,0.62,0.59,0.76,0.73,0.82
soap,word,household,0.07,0.1,0.23,0.3,0.36,0.44,0.52,0.57,0.68,0.75,0.75,0.83,0.91,0.83,0.91
spoon,word,household,0.2,0.26,0.45,0.52,0.58,0.62,0.73,0.79,0.77,0.83,0.86,0.89,0.95,0.89,0.96
tape,word,household,0.02,0.01,0.09,0.13,0.14,0.18,0.25,0.34,0.41,0.45,0.56,0.59,0.73,0.64,0.77
telephone,word,household,0.16,0.16,0.32,0.4,0.49,0.54,0.65,0.67,0.72,0.81,0.83,0.87,0.95,0.89,0.96
tissue/kleenex,word,household,0.03,0.04,0.11,0.19,0.21,0.31,0.36,0.4,0.52,0.54,0.64,0.63,0.82,0.68,0.83
toothbrush,word,household,0.12,0.16,0.33,0.37,0.44,0.47,0.6,0.7,0.72,0.77,0.78,0.85,0.94,0.87,0.95
towel,word,household,0.06,0.09,0.2,0.26,0.29,0.38,0.49,0.56,0.62,0.7,0.73,0.75,0.91,0.8,0.92
trash,word,household,0.07,0.11,0.21,0.29,0.27,0.35,0.45,0.45,0.54,0.51,0.6,0.62,0.78,0.69,0.8
tray,word,household,0.01,0.01,0.02,0.04,0.05,0.07,0.08,0.11,0.14,0.15,0.19,0.22,0.33,0.32,0.4
vacuum,word,household,0.06,0.08,0.18,0.26,0.26,0.32,0.39,0.42,0.49,0.57,0.62,0.69,0.8,0.73,0.83
walker,word,household,0,0,0.01,0.02,0.04,0.04,0.06,0.1,0.07,0.1,0.17,0.18,0.22,0.21,0.29
watch (object),word,household,0.07,0.08,0.2,0.24,0.25,0.3,0.42,0.43,0.52,0.57,0.66,0.65,0.83,0.7,0.83
basement,word,furniture_rooms,0.01,0.01,0.02,0.03,0.04,0.08,0.11,0.14,0.12,0.18,0.21,0.26,0.28,0.22,0.24
bathroom,word,furniture_rooms,0.04,0.06,0.16,0.23,0.28,0.34,0.49,0.54,0.59,0.67,0.72,0.73,0.88,0.83,0.92
bathtub,word,furniture_rooms,0.16,0.16,0.3,0.35,0.39,0.43,0.57,0.62,0.64,0.69,0.81,0.79,0.89,0.79,0.93
bed,word,furniture_rooms,0.11,0.21,0.37,0.43,0.53,0.59,0.68,0.79,0.81,0.85,0.84,0.91,0.96,0.91,0.97
bedroom,word,furniture_rooms,0.02,0.04,0.09,0.15,0.15,0.22,0.33,0.4,0.46,0.52,0.57,0.64,0.8,0.7,0.85
bench,word,furniture_rooms,0.01,0.01,0.02,0.05,0.04,0.06,0.1,0.12,0.14,0.18,0.23,0.25,0.4,0.37,0.48
chair,word,furniture_rooms,0.16,0.21,0.4,0.44,0.44,0.57,0.69,0.72,0.77,0.81,0.82,0.9,0.95,0.89,0.94
closet,word,furniture_rooms,0.01,0.01,0.05,0.11,0.11,0.17,0.27,0.28,0.42,0.44,0.55,0.62,0.74,0.69,0.8
couch,word,furniture_rooms,0.03,0.05,0.14,0.19,0.23,0.32,0.38,0.47,0.51,0.58,0.65,0.7,0.84,0.75,0.85
crib,word,furniture_rooms,0.03,0.04,0.11,0.15,0.21,0.26,0.35,0.37,0.46,0.5,0.59,0.58,0.73,0.64,0.76
door,word,furniture_rooms,0.23,0.27,0.39,0.48,0.52,0.59,0.71,0.75,0.79,0.84,0.86,0.92,0.95,0.91,0.96
drawer,word,furniture_rooms,0.02,0.02,0.05,0.09,0.08,0.15,0.18,0.24,0.33,0.34,0.49,0.51,0.64,0.58,0.67
dryer,word,furniture_rooms,0.01,0.01,0.05,0.09,0.07,0.1,0.17,0.23,0.27,0.33,0.42,0.42,0.61,0.52,0.66
garage,word,furniture_rooms,0.01,0.01,0.05,0.1,0.12,0.18,0.26,0.29,0.38,0.43,0.51,0.55,0.7,0.6,0.74
high chair,word,furniture_rooms,0.05,0.08,0.18,0.2,0.2,0.29,0.36,0.39,0.46,0.48,0.55,0.57,0.72,0.63,0.7
kitchen,word,furniture_rooms,0.03,0.05,0.13,0.2,0.22,0.32,0.41,0.54,0.56,0.62,0.73,0.75,0.86,0.79,0.91
living room,word,furniture_rooms,0.01,0.01,0.04,0.07,0.08,0.1,0.2,0.28,0.28,0.37,0.49,0.49,0.62,0.59,0.71
oven,word,furniture_rooms,0.01,0.02,0.05,0.13,0.12,0.2,0.26,0.29,0.36,0.4,0.49,0.51,0.66,0.63,0.75
play pen,word,furniture_rooms,0.01,0,0.02,0.04,0.04,0.04,0.09,0.09,0.1,0.12,0.2,0.21,0.32,0.24,0.32
porch,word,furniture_rooms,0,0,0.01,0.05,0.06,0.09,0.13,0.15,0.18,0.22,0.29,0.4,0.43,0.4,0.49
potty,word,furniture_rooms,0.11,0.2,0.34,0.47,0.49,0.54,0.65,0.7,0.77,0.8,0.84,0.84,0.93,0.88,0.94
rocking chair,word,furniture_rooms,0.04,0.04,0.11,0.16,0.2,0.2,0.35,0.32,0.38,0.45,0.49,0.55,0.65,0.61,0.73
refrigerator,word,furniture_rooms,0.02,0.04,0.07,0.16,0.16,0.18,0.27,0.31,0.42,0.5,0.59,0.58,0.79,0.66,0.81
room,word,furniture_rooms,0.03,0.04,0.1,0.18,0.17,0.27,0.35,0.45,0.51,0.58,0.66,0.65,0.83,0.75,0.86
shower,word,furniture_rooms,0.05,0.08,0.17,0.24,0.28,0.33,0.45,0.48,0.55,0.61,0.72,0.72,0.83,0.77,0.84
sink,word,furniture_rooms,0.02,0.03,0.09,0.13,0.17,0.23,0.34,0.4,0.46,0.5,0.65,0.65,0.76,0.74,0.82
sofa,word,furniture_rooms,0.01,0.01,0.04,0.07,0.08,0.08,0.11,0.16,0.21,0.22,0.27,0.34,0.42,0.41,0.42
stairs,word,furniture_rooms,0.05,0.06,0.13,0.21,0.19,0.22,0.4,0.38,0.47,0.55,0.64,0.58,0.83,0.66,0.79
stove,word,furniture_rooms,0.02,0.07,0.1,0.17,0.19,0.26,0.37,0.41,0.38,0.44,0.51,0.61,0.65,0.67,0.72
table,word,furniture_rooms,0.04,0.06,0.16,0.26,0.27,0.31,0.47,0.52,0.59,0.68,0.71,0.74,0.88,0.82,0.91
TV,word,furniture_rooms,0.1,0.15,0.31,0.38,0.42,0.49,0.63,0.64,0.73,0.78,0.83,0.82,0.95,0.89,0.93
window,word,furniture_rooms,0.04,0.05,0.11,0.2,0.23,0.21,0.3,0.36,0.48,0.53,0.64,0.65,0.84,0.72,0.82
washing machine,word,furniture_rooms,0.01,0.05,0.08,0.1,0.12,0.22,0.28,0.37,0.32,0.4,0.42,0.53,0.6,0.64,0.71
backyard,word,outside,0.02,0.01,0.06,0.09,0.11,0.15,0.23,0.26,0.33,0.37,0.48,0.5,0.69,0.6,0.73
cloud,word,outside,0.03,0.03,0.11,0.19,0.18,0.25,0.35,0.39,0.46,0.48,0.55,0.61,0.76,0.68,0.81
flag,word,outside,0.03,0.04,0.1,0.16,0.14,0.22,0.26,0.31,0.39,0.49,0.54,0.47,0.71,0.58,0.76
flower,word,outside,0.2,0.23,0.41,0.5,0.5,0.52,0.66,0.74,0.75,0.82,0.86,0.88,0.94,0.88,0.97
garden,word,outside,0.01,0,0.05,0.07,0.07,0.1,0.17,0.2,0.23,0.28,0.36,0.38,0.53,0.47,0.58
grass,word,outside,0.06,0.1,0.19,0.27,0.26,0.37,0.47,0.53,0.59,0.71,0.73,0.71,0.87,0.77,0.92
hose,word,outside,0.03,0.01,0.07,0.1,0.09,0.15,0.22,0.26,0.32,0.4,0.47,0.54,0.67,0.55,0.67
ladder,word,outside,0.01,0,0.06,0.08,0.09,0.17,0.17,0.32,0.31,0.39,0.48,0.52,0.65,0.55,0.67
lawn mower,word,outside,0.03,0.04,0.12,0.13,0.16,0.22,0.28,0.36,0.35,0.43,0.49,0.55,0.63,0.55,0.69
moon,word,outside,0.23,0.2,0.4,0.44,0.47,0.54,0.66,0.65,0.77,0.79,0.81,0.79,0.92,0.84,0.93
pool,word,outside,0.1,0.12,0.19,0.27,0.34,0.36,0.44,0.46,0.57,0.63,0.73,0.73,0.85,0.75,0.86
rain,word,outside,0.07,0.12,0.25,0.34,0.39,0.41,0.55,0.67,0.7,0.77,0.75,0.87,0.93,0.86,0.96
rock,word,outside,0.13,0.19,0.28,0.39,0.36,0.46,0.6,0.65,0.66,0.7,0.79,0.81,0.9,0.83,0.93
roof,word,outside,0.01,0,0.02,0.04,0.06,0.07,0.14,0.16,0.2,0.27,0.32,0.39,0.53,0.47,0.6
sandbox,word,outside,0.01,0.01,0.08,0.1,0.1,0.13,0.21,0.25,0.32,0.37,0.48,0.52,0.64,0.55,0.68
shovel,word,outside,0.04,0.03,0.08,0.16,0.16,0.24,0.28,0.4,0.39,0.48,0.53,0.6,0.75,0.63,0.78
sidewalk,word,outside,0.01,0.01,0.04,0.09,0.09,0.09,0.18,0.24,0.3,0.36,0.41,0.48,0.62,0.57,0.69
sky,word,outside,0.06,0.07,0.2,0.26,0.26,0.34,0.43,0.47,0.54,0.57,0.61,0.69,0.81,0.73,0.85
slide (object),word,outside,0.09,0.11,0.21,0.34,0.34,0.39,0.54,0.58,0.62,0.68,0.71,0.73,0.87,0.79,0.87
snow,word,outside,0.05,0.09,0.15,0.19,0.24,0.3,0.44,0.49,0.49,0.52,0.6,0.67,0.71,0.69,0.8
snowman,word,outside,0.01,0.02,0.04,0.08,0.1,0.17,0.24,0.29,0.32,0.4,0.46,0.5,0.61,0.59,0.75
sprinkler,word,outside,0.01,0.01,0.03,0.06,0.05,0.08,0.13,0.15,0.23,0.32,0.31,0.4,0.51,0.45,0.57
